url,slackUsername,age,backend,bio,error
/,,,,,Invalid URL '/': No scheme supplied. Perhaps you meant http:///?
localhost:3030/,,,,,No connection adapters were found for 'localhost:3030/'
http://localhost:8080/api/task1/user,,,,,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/task1/user (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x123384430>: Failed to establish a new connection: [Errno 61] Connection refused'))"
"""/interns""",,,,,"Invalid URL '""/interns""': No scheme supplied. Perhaps you meant http://""/interns""?"
https://my-first-hng-task.herokuapp.com/profile,,,,,slackUsername is missing or not a string
/api/v1/profiles,,,,,Invalid URL '/api/v1/profiles': No scheme supplied. Perhaps you meant http:///api/v1/profiles?
http://127.0.0.1:8000,,,,,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x123282020>: Failed to establish a new connection: [Errno 61] Connection refused'))"
https://hng-7hdd.onrender.com,,,,,Expecting value: line 1 column 1 (char 0)
https://hngi9-backend-assessment-production.up.railway.app/user,,,,,Expecting value: line 2 column 1 (char 1)
https://hngtask.herokuapp.com/api/my-info,,,,,slackUsername is missing or not a string
"localhost50,5000",,,,,"Invalid URL 'localhost50,5000': No scheme supplied. Perhaps you meant http://localhost50,5000?"
localhost:3000/api/user,,,,,No connection adapters were found for 'localhost:3000/api/user'
https://my-first-hng-task.herokuapp.com/profile,,,,,slackUsername is missing or not a string
https://GitHub.com/mukhtarB,,,,,Expecting value: line 3 column 1 (char 2)
https://hngi9-stage1.onrender.com,,,,,Expecting value: line 1 column 1 (char 0)
https://hng.onrender.com,,,,,"HTTPSConnectionPool(host='hng.onrender.com', port=443): Read timed out. (read timeout=10)"
hngi9.herokuapp.com,,,,,Invalid URL 'hngi9.herokuapp.com': No scheme supplied. Perhaps you meant http://hngi9.herokuapp.com?
https://hngstageone.onrender.com/,,,,,"HTTPSConnectionPool(host='hngstageone.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-backend-stage-one.onrender.com,,,,,"HTTPSConnectionPool(host='hng-backend-stage-one.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hngtask1.onrender.com,,,,,"HTTPSConnectionPool(host='hngtask1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-task1-s07a.onrender.com/user,,,,,"HTTPSConnectionPool(host='hng-task1-s07a.onrender.com', port=443): Read timed out. (read timeout=10)"
zuritask.herokuapp.com/user,,,,,Invalid URL 'zuritask.herokuapp.com/user': No scheme supplied. Perhaps you meant http://zuritask.herokuapp.com/user?
jerryhng.onrender.com,,,,,Invalid URL 'jerryhng.onrender.com': No scheme supplied. Perhaps you meant http://jerryhng.onrender.com?
https://hng-9-production.up.railway.app/interns,,,,,age is missing or not an integer
https://achufam-task.onrender.com/,,,,,backend is missing or not true
localhost:3000/profile/,,,,,No connection adapters were found for 'localhost:3000/profile/'
https://eezzy2k3-i.onrender.com/api/v1/aboutme,,,,,"HTTPSConnectionPool(host='eezzy2k3-i.onrender.com', port=443): Read timed out. (read timeout=10)"
hng-api-app.herokuapp.com//api/v1/detail,,,,,Invalid URL 'hng-api-app.herokuapp.com//api/v1/detail': No scheme supplied. Perhaps you meant http://hng-api-app.herokuapp.com//api/v1/detail?
https://hng9-stage1.herokuapp.com/,,,,,slackUsername is missing or not a string
https://hngi9-stage1-task.onrender.com/,,,,,"HTTPSConnectionPool(host='hngi9-stage1-task.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-task-one.onrender.com,,,,,"HTTPSConnectionPool(host='hng-task-one.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-task1.onrender.com,,,,,"HTTPSConnectionPool(host='hng-task1.onrender.com', port=443): Read timed out. (read timeout=10)"
http://localhost:4000/hng-task1,,,,,"HTTPConnectionPool(host='localhost', port=4000): Max retries exceeded with url: /hng-task1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x123281690>: Failed to establish a new connection: [Errno 61] Connection refused'))"
https://hngtask1-mpy0.onrender.com/details,,,,,Expecting value: line 1 column 1 (char 0)
https://hng-task1.onrender.com,,,,,"HTTPSConnectionPool(host='hng-task1.onrender.com', port=443): Read timed out. (read timeout=10)"
http://52.56.97.39,,,,,"HTTPConnectionPool(host='52.56.97.39', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x123386d40>, 'Connection to 52.56.97.39 timed out. (connect timeout=10)'))"
https://mn-hng-task-1.onrender.com/,,,,,"HTTPSConnectionPool(host='mn-hng-task-1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://boluajileye.com/hngtask/task1/,,,,,slackUsername is missing or not a string
https://simple-node-server.onrender.com/,,,,,"HTTPSConnectionPool(host='simple-node-server.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hngstage1task.onrender.com,,,,,"HTTPSConnectionPool(host='hngstage1task.onrender.com', port=443): Read timed out. (read timeout=10)"
https://ebube.onrender.com,,,,,"HTTPSConnectionPool(host='ebube.onrender.com', port=443): Read timed out. (read timeout=10)"
https://fathomless-everglades-08895.herokuapp.com/,,,,,Expecting value: line 1 column 1 (char 0)
https://lunar-flare-366500.postman.co/workspace/My-Workspace~f12bacd9-bca4-478f-8a98-834e546e6e20/request/21519412-befaf962-f268-45f9-9d39-c93e13561804?ctx=code,,,,,slackUsername is missing or not a string
https://hng-7hdd.onrender.com,,,,,Expecting value: line 1 column 1 (char 0)
https://gentcod-stage-one.onrender.com/oyefule-oluwatayo,,,,,"HTTPSConnectionPool(host='gentcod-stage-one.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng01.onrender.com/getUser,,,,,Expecting value: line 1 column 1 (char 0)
https://node-server-qeqx.onrender.com,,,,,"HTTPSConnectionPool(host='node-server-qeqx.onrender.com', port=443): Read timed out. (read timeout=10)"
https://api-c7sx.onrender.com,,,,,Expecting value: line 1 column 1 (char 0)
https://hng-task-1-jeff.onrender.com/,,,,,"HTTPSConnectionPool(host='hng-task-1-jeff.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-backned-track.onrender.com/,,,,,"HTTPSConnectionPool(host='hng-backned-track.onrender.com', port=443): Read timed out. (read timeout=10)"
http://collinsoma.pythonanywhere.com/api/user_details?format=json,,,,,slackUsername is missing or not a string
https://getendpoint.onrender.com,,,,,"HTTPSConnectionPool(host='getendpoint.onrender.com', port=443): Read timed out. (read timeout=10)"
hngi9.herokuapp.com,,,,,Invalid URL 'hngi9.herokuapp.com': No scheme supplied. Perhaps you meant http://hngi9.herokuapp.com?
https://api-endpt.herokuapp.com/details,,,,,slackUsername is missing or not a string
https://hng-bio.onrender.com/bio,,,,,slackUsername is missing or not a string
http://dice-web-app.onrender.com,,,,,"HTTPSConnectionPool(host='dice-web-app.onrender.com', port=443): Read timed out. (read timeout=10)"
https://php9ih.deta.dev/data,,,,,slackUsername is missing or not a string
https://hng-task1.onrender.com,,,,,"HTTPSConnectionPool(host='hng-task1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hngi-stage1.onrender.com/,,,,,"HTTPSConnectionPool(host='hngi-stage1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-training.onrender.com,,,,,"HTTPSConnectionPool(host='hng-training.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hngslack.herokuapp.com/,,,,,slackUsername is missing or not a string
https://stage-one-api-v1.onrender.com,,,,,"HTTPSConnectionPool(host='stage-one-api-v1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://iceu-task1.onrender.com,,,,,"HTTPSConnectionPool(host='iceu-task1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hngbackendtask.onrender.com,,,,,"HTTPSConnectionPool(host='hngbackendtask.onrender.com', port=443): Read timed out. (read timeout=10)"
https://mytask-hng.herokuapp.com,,,,,bio is missing or not a string
https://sadiq-stage1.onrender.com/,,,,,"HTTPSConnectionPool(host='sadiq-stage1.onrender.com', port=443): Read timed out. (read timeout=10)"
https://hng-task-1-deployment.onrender.com/data,,,,,"HTTPSConnectionPool(host='hng-task-1-deployment.onrender.com', port=443): Read timed out. (read timeout=10)"
https://patsapi.herokuapp.com/student/?format=json,,,,,slackUsername is missing or not a string
https://flask-get-endpoint.onrender.com/,,,,,"HTTPSConnectionPool(host='flask-get-endpoint.onrender.com', port=443): Read timed out. (read timeout=10)"
https://jsonresponser.kawalpreetpreet.repl.co/jsonresponse,,,,,"HTTPSConnectionPool(host='jsonresponser.kawalpreetpreet.repl.co', port=443): Read timed out. (read timeout=10)"
https://stage1-hng9.herokuapp.com/,,,,,slackUsername is missing or not a string
/,,,,,Invalid URL '/': No scheme supplied. Perhaps you meant http:///?
hng-task1-bcknd.herokuapp.com,,,,,Invalid URL 'hng-task1-bcknd.herokuapp.com': No scheme supplied. Perhaps you meant http://hng-task1-bcknd.herokuapp.com?
test,,,,,Invalid URL 'test': No scheme supplied. Perhaps you meant http://test?
https://hng-task1.onrender.com,,,,,"HTTPSConnectionPool(host='hng-task1.onrender.com', port=443): Read timed out. (read timeout=10)"
http://127.0.0.1:8000/,,,,,"HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x123258a00>: Failed to establish a new connection: [Errno 61] Connection refused'))"
